theta,category,success_rate,relations_total,relations_kept,avg_relations_per_object,avg_relations_per_object_before,avg_relations_per_keyword,avg_relations_per_keyword_before,ope_objects,ope_zero_relation_objects,ope_zero_relation_object_ratio,ope_relations_total,ope_relations_kept,urp_keywords,urp_zero_relation_keywords,urp_zero_relation_keyword_ratio,urp_relations_total,urp_relations_kept,zero_relation_queries,total_relation_queries,zero_relation_query_ratio,ope_zero_relation_object_names,urp_zero_relation_keyword_names,zero_relation_terms
0.65,toxicity,0.0,574,574,6.98,6.98,22.5,22.5,50,17,0.34,349,349,10,2,0.2,225,225,19,60,0.31666666666666665,amatoxin plant; death cap mushroom; green hellebore; hazardous bin; mixed bin; non-hazardous bin; public area bin; secure venomous bin; solanidine plant; standard bin; toxic bin; verification bin,Toxicity; baskets,keyword:Toxicity; keyword:baskets; object:amatoxin plant; object:death cap mushroom; object:green hellebore; object:hazardous bin; object:mixed bin; object:non-hazardous bin; object:public area bin; object:secure venomous bin; object:solanidine plant; object:standard bin; object:toxic bin; object:verification bin
0.7,toxicity,0.0,574,574,6.98,6.98,22.5,22.5,50,17,0.34,349,349,10,2,0.2,225,225,19,60,0.31666666666666665,amatoxin plant; death cap mushroom; green hellebore; hazardous bin; mixed bin; non-hazardous bin; public area bin; secure venomous bin; solanidine plant; standard bin; toxic bin; verification bin,Toxicity; baskets,keyword:Toxicity; keyword:baskets; object:amatoxin plant; object:death cap mushroom; object:green hellebore; object:hazardous bin; object:mixed bin; object:non-hazardous bin; object:public area bin; object:secure venomous bin; object:solanidine plant; object:standard bin; object:toxic bin; object:verification bin
0.75,toxicity,0.0,574,464,5.34,6.98,19.7,22.5,50,18,0.36,349,267,10,2,0.2,225,197,20,60,0.3333333333333333,amatoxin plant; death cap mushroom; diazomethane; green hellebore; hazardous bin; mixed bin; non-hazardous bin; public area bin; secure venomous bin; solanidine plant; standard bin; toxic bin; verification bin,Toxicity; baskets,keyword:Toxicity; keyword:baskets; object:amatoxin plant; object:death cap mushroom; object:diazomethane; object:green hellebore; object:hazardous bin; object:mixed bin; object:non-hazardous bin; object:public area bin; object:secure venomous bin; object:solanidine plant; object:standard bin; object:toxic bin; object:verification bin
0.8,toxicity,0.0,574,32,0.02,6.98,3.1,22.5,50,49,0.98,349,1,10,7,0.7,225,31,56,60,0.9333333333333333,amaranth; amatoxin plant; barium chloride; basil; black widow spider; boomslang; brown recluse spider; daffodil; death cap mushroom; deer; diazomethane; ethanol; fox; garter snake; gladiolus; glucose; green hellebore; hazardous bin; jack bean; lavender; marigold; mint; mixed bin; non-hazardous bin; plasticizer; public area bin; rabbit; rose; rosemary; secure venomous bin; sodium bicarbonate; solanidine plant; solenodon; standard bin; sunflower; tetraethyl lead; toxic bin; tulip; verification bin,Animals; Toxic; Toxicity; baskets; objects; plants,keyword:Animals; keyword:Toxic; keyword:Toxicity; keyword:baskets; keyword:objects; keyword:plants; object:amaranth; object:amatoxin plant; object:barium chloride; object:basil; object:black widow spider; object:boomslang; object:brown recluse spider; object:daffodil; object:death cap mushroom; object:deer; object:diazomethane; object:ethanol; object:fox; object:garter snake; object:gladiolus; object:glucose; object:green hellebore; object:hazardous bin; object:jack bean; object:lavender; object:marigold; object:mint; object:mixed bin; object:non-hazardous bin; object:plasticizer; object:public area bin; object:rabbit; object:rose; object:rosemary; object:secure venomous bin; object:sodium bicarbonate; object:solanidine plant; object:solenodon; object:standard bin; object:sunflower; object:tetraethyl lead; object:toxic bin; object:tulip; object:verification bin
0.85,toxicity,0.2,574,0,0.0,6.98,0.0,22.5,50,50,1.0,349,0,10,10,1.0,225,0,60,60,1.0,amaranth; amatoxin plant; barium chloride; basil; black widow spider; boomslang; brown recluse spider; daffodil; death cap mushroom; deer; diazomethane; ethanol; fox; garter snake; gladiolus; glucose; green hellebore; hazardous bin; jack bean; lavender; marigold; mint; mixed bin; non-hazardous bin; plasticizer; public area bin; rabbit; rose; rosemary; secure venomous bin; sodium bicarbonate; solanidine plant; solenodon; standard bin; strychnine; sunflower; tetraethyl lead; toxic bin; tulip; verification bin,Animals; Containers; Plants; Toxic; Toxicity; baskets; objects; plants,keyword:Animals; keyword:Containers; keyword:Plants; keyword:Toxic; keyword:Toxicity; keyword:baskets; keyword:objects; keyword:plants; object:amaranth; object:amatoxin plant; object:barium chloride; object:basil; object:black widow spider; object:boomslang; object:brown recluse spider; object:daffodil; object:death cap mushroom; object:deer; object:diazomethane; object:ethanol; object:fox; object:garter snake; object:gladiolus; object:glucose; object:green hellebore; object:hazardous bin; object:jack bean; object:lavender; object:marigold; object:mint; object:mixed bin; object:non-hazardous bin; object:plasticizer; object:public area bin; object:rabbit; object:rose; object:rosemary; object:secure venomous bin; object:sodium bicarbonate; object:solanidine plant; object:solenodon; object:standard bin; object:strychnine; object:sunflower; object:tetraethyl lead; object:toxic bin; object:tulip; object:verification bin
