theta,category,success_rate,relations_total,relations_kept,avg_relations_per_object,avg_relations_per_object_before,avg_relations_per_keyword,avg_relations_per_keyword_before,ope_objects,ope_zero_relation_objects,ope_zero_relation_object_ratio,ope_relations_total,ope_relations_kept,urp_keywords,urp_zero_relation_keywords,urp_zero_relation_keyword_ratio,urp_relations_total,urp_relations_kept,zero_relation_queries,total_relation_queries,zero_relation_query_ratio,ope_zero_relation_object_names,urp_zero_relation_keyword_names,zero_relation_terms
0.65,explicit_ambiguous,0.7,6471,6471,17.08,17.08,137.5625,137.5625,250,60,0.24,4270,4270,16,0,0.0,2201,2201,60,266,0.22556390977443608,ceramic bowl; chili bottle; energy bar; lime soda; rivella; sweet bar,,object:ceramic bowl; object:chili bottle; object:energy bar; object:lime soda; object:rivella; object:sweet bar
0.7,explicit_ambiguous,0.5,6471,6461,17.08,17.08,136.9375,137.5625,250,60,0.24,4270,4270,16,0,0.0,2201,2191,60,266,0.22556390977443608,ceramic bowl; chili bottle; energy bar; lime soda; rivella; sweet bar,,object:ceramic bowl; object:chili bottle; object:energy bar; object:lime soda; object:rivella; object:sweet bar
0.75,explicit_ambiguous,0.8,6471,5422,14.6,17.08,110.75,137.5625,250,60,0.24,4270,3650,16,0,0.0,2201,1772,60,266,0.22556390977443608,ceramic bowl; chili bottle; energy bar; lime soda; rivella; sweet bar,,object:ceramic bowl; object:chili bottle; object:energy bar; object:lime soda; object:rivella; object:sweet bar
0.8,explicit_ambiguous,0.9,6471,520,0.96,17.08,17.5,137.5625,250,190,0.76,4270,240,16,3,0.1875,2201,280,193,266,0.7255639097744361,7up; apple; butter; carrot; ceramic bowl; chili bottle; chips; coke; corn; counter; egg; energy bar; fridge; lemon; lime soda; rivella; sweet bar; trash can; user,drink; spill; wipe,keyword:drink; keyword:spill; keyword:wipe; object:7up; object:apple; object:butter; object:carrot; object:ceramic bowl; object:chili bottle; object:chips; object:coke; object:corn; object:counter; object:egg; object:energy bar; object:fridge; object:lemon; object:lime soda; object:rivella; object:sweet bar; object:trash can; object:user
0.85,explicit_ambiguous,0.8,6471,38,0.0,17.08,2.375,137.5625,250,250,1.0,4270,0,16,15,0.9375,2201,38,265,266,0.9962406015037594,7up; apple; butter; carrot; ceramic bowl; chili bottle; chips; coke; corn; counter; cup; egg; energy bar; fridge; lemon; lime soda; plate; rivella; sponge; sweet bar; table; tea; trash can; user; water bottle,Snack; chips; drink; fruit; snacks; soda; spill; wipe,keyword:Snack; keyword:chips; keyword:drink; keyword:fruit; keyword:snacks; keyword:soda; keyword:spill; keyword:wipe; object:7up; object:apple; object:butter; object:carrot; object:ceramic bowl; object:chili bottle; object:chips; object:coke; object:corn; object:counter; object:cup; object:egg; object:energy bar; object:fridge; object:lemon; object:lime soda; object:plate; object:rivella; object:sponge; object:sweet bar; object:table; object:tea; object:trash can; object:user; object:water bottle
