theta,category,success_rate,relations_total,relations_kept,avg_relations_per_object,avg_relations_per_object_before,avg_relations_per_keyword,avg_relations_per_keyword_before,ope_relations_total,ope_relations_kept,urp_relations_total,urp_relations_kept
0.65,explicit_unambiguous,0.7142857142857143,13851,13851,17.08,17.08,116.28571428571429,116.28571428571429,8967,8967,4884,4884
0.7,explicit_unambiguous,0.8571428571428571,13851,13845,17.08,17.08,116.14285714285714,116.28571428571429,8967,8967,4884,4878
0.75,explicit_unambiguous,0.8571428571428571,13851,11838,14.6,17.08,99.35714285714286,116.28571428571429,8967,7665,4884,4173
0.8,explicit_unambiguous,0.8571428571428571,13851,1158,0.96,17.08,15.571428571428571,116.28571428571429,8967,504,4884,654
0.85,explicit_unambiguous,0.8095238095238095,13851,213,0.0,17.08,5.071428571428571,116.28571428571429,8967,0,4884,213
