theta,category,success_rate,relations_total,relations_kept,avg_relations_per_object,avg_relations_per_object_before,avg_relations_per_keyword,avg_relations_per_keyword_before,ope_objects,ope_zero_relation_objects,ope_zero_relation_object_ratio,ope_relations_total,ope_relations_kept,urp_keywords,urp_zero_relation_keywords,urp_zero_relation_keyword_ratio,urp_relations_total,urp_relations_kept,zero_relation_queries,total_relation_queries,zero_relation_query_ratio,ope_zero_relation_object_names,urp_zero_relation_keyword_names,zero_relation_terms
0.65,materials,0.14285714285714285,669,669,5.444444444444445,5.444444444444445,23.285714285714285,23.285714285714285,63,39,0.6190476190476191,343,343,14,2,0.14285714285714285,326,326,41,77,0.5324675324675324,beverage carton; brochures; cheese paper; coke can; fruit net; glass bin; glass jar; mixed bin; paper bin; plastic bin; tetrapak; transfer paper; wax bin; yogurt pot,baskets,keyword:baskets; object:beverage carton; object:brochures; object:cheese paper; object:coke can; object:fruit net; object:glass bin; object:glass jar; object:mixed bin; object:paper bin; object:plastic bin; object:tetrapak; object:transfer paper; object:wax bin; object:yogurt pot
0.7,materials,0.14285714285714285,669,669,5.444444444444445,5.444444444444445,23.285714285714285,23.285714285714285,63,39,0.6190476190476191,343,343,14,2,0.14285714285714285,326,326,41,77,0.5324675324675324,beverage carton; brochures; cheese paper; coke can; fruit net; glass bin; glass jar; mixed bin; paper bin; plastic bin; tetrapak; transfer paper; wax bin; yogurt pot,baskets,keyword:baskets; object:beverage carton; object:brochures; object:cheese paper; object:coke can; object:fruit net; object:glass bin; object:glass jar; object:mixed bin; object:paper bin; object:plastic bin; object:tetrapak; object:transfer paper; object:wax bin; object:yogurt pot
0.75,materials,0.2857142857142857,669,629,5.222222222222222,5.444444444444445,21.428571428571427,23.285714285714285,63,39,0.6190476190476191,343,329,14,2,0.14285714285714285,326,300,41,77,0.5324675324675324,beverage carton; brochures; cheese paper; coke can; fruit net; glass bin; glass jar; mixed bin; paper bin; plastic bin; tetrapak; transfer paper; wax bin; yogurt pot,baskets,keyword:baskets; object:beverage carton; object:brochures; object:cheese paper; object:coke can; object:fruit net; object:glass bin; object:glass jar; object:mixed bin; object:paper bin; object:plastic bin; object:tetrapak; object:transfer paper; object:wax bin; object:yogurt pot
0.8,materials,0.2857142857142857,669,214,2.5396825396825395,5.444444444444445,3.857142857142857,23.285714285714285,63,48,0.7619047619047619,343,160,14,9,0.6428571428571429,326,54,57,77,0.7402597402597403,aluminum can; beverage carton; brochures; cardboard box; cheese paper; coke can; colored pencil; comic; fruit net; glass bin; glass jar; journal; mixed bin; paper bin; paper cup; plastic bin; tetrapak; transfer paper; wax bin; yogurt pot,baskets; bin; objects,keyword:baskets; keyword:bin; keyword:objects; object:aluminum can; object:beverage carton; object:brochures; object:cardboard box; object:cheese paper; object:coke can; object:colored pencil; object:comic; object:fruit net; object:glass bin; object:glass jar; object:journal; object:mixed bin; object:paper bin; object:paper cup; object:plastic bin; object:tetrapak; object:transfer paper; object:wax bin; object:yogurt pot
0.85,materials,0.2857142857142857,669,84,1.3333333333333333,5.444444444444445,0.0,23.285714285714285,63,51,0.8095238095238095,343,84,14,14,1.0,326,0,65,77,0.8441558441558441,aluminum can; beverage carton; brochures; can; cardboard; cardboard box; cheese paper; coke can; colored pencil; comic; fruit net; glass bin; glass jar; journal; mixed bin; paper bin; paper clip; paper cup; plastic bin; tetrapak; transfer paper; wax bin; yogurt pot,Wax; baskets; bin; objects; paper,keyword:Wax; keyword:baskets; keyword:bin; keyword:objects; keyword:paper; object:aluminum can; object:beverage carton; object:brochures; object:can; object:cardboard; object:cardboard box; object:cheese paper; object:coke can; object:colored pencil; object:comic; object:fruit net; object:glass bin; object:glass jar; object:journal; object:mixed bin; object:paper bin; object:paper clip; object:paper cup; object:plastic bin; object:tetrapak; object:transfer paper; object:wax bin; object:yogurt pot
