theta,category,success_rate,relations_total,relations_kept,avg_relations_per_object,avg_relations_per_object_before,avg_relations_per_keyword,avg_relations_per_keyword_before,ope_objects,ope_zero_relation_objects,ope_zero_relation_object_ratio,ope_relations_total,ope_relations_kept,urp_keywords,urp_zero_relation_keywords,urp_zero_relation_keyword_ratio,urp_relations_total,urp_relations_kept,zero_relation_queries,total_relation_queries,zero_relation_query_ratio,ope_zero_relation_object_names,urp_zero_relation_keyword_names,zero_relation_terms
0.65,explicit_unambiguous,0.8571428571428571,4617,4617,17.08,17.08,116.28571428571429,116.28571428571429,175,42,0.24,2989,2989,14,0,0.0,1628,1628,42,189,0.2222222222222222,ceramic bowl; chili bottle; energy bar; lime soda; rivella; sweet bar,,object:ceramic bowl; object:chili bottle; object:energy bar; object:lime soda; object:rivella; object:sweet bar
0.7,explicit_unambiguous,0.8571428571428571,4617,4615,17.08,17.08,116.14285714285714,116.28571428571429,175,42,0.24,2989,2989,14,0,0.0,1628,1626,42,189,0.2222222222222222,ceramic bowl; chili bottle; energy bar; lime soda; rivella; sweet bar,,object:ceramic bowl; object:chili bottle; object:energy bar; object:lime soda; object:rivella; object:sweet bar
0.75,explicit_unambiguous,0.7142857142857143,4617,3946,14.6,17.08,99.35714285714286,116.28571428571429,175,42,0.24,2989,2555,14,0,0.0,1628,1391,42,189,0.2222222222222222,ceramic bowl; chili bottle; energy bar; lime soda; rivella; sweet bar,,object:ceramic bowl; object:chili bottle; object:energy bar; object:lime soda; object:rivella; object:sweet bar
0.8,explicit_unambiguous,0.7142857142857143,4617,386,0.96,17.08,15.571428571428571,116.28571428571429,175,133,0.76,2989,168,14,4,0.2857142857142857,1628,218,137,189,0.7248677248677249,7up; apple; butter; carrot; ceramic bowl; chili bottle; chips; coke; corn; counter; egg; energy bar; fridge; lemon; lime soda; rivella; sweet bar; trash can; user,soda; table; water,keyword:soda; keyword:table; keyword:water; object:7up; object:apple; object:butter; object:carrot; object:ceramic bowl; object:chili bottle; object:chips; object:coke; object:corn; object:counter; object:egg; object:energy bar; object:fridge; object:lemon; object:lime soda; object:rivella; object:sweet bar; object:trash can; object:user
0.85,explicit_unambiguous,1.0,4617,71,0.0,17.08,5.071428571428571,116.28571428571429,175,175,1.0,2989,0,14,14,1.0,1628,71,189,189,1.0,7up; apple; butter; carrot; ceramic bowl; chili bottle; chips; coke; corn; counter; cup; egg; energy bar; fridge; lemon; lime soda; plate; rivella; sponge; sweet bar; table; tea; trash can; user; water bottle,7up; Apple; Chips; Coke; apple; chips; coke; energy; soda; table; tea; water,keyword:7up; keyword:Apple; keyword:Chips; keyword:Coke; keyword:apple; keyword:chips; keyword:coke; keyword:energy; keyword:soda; keyword:table; keyword:tea; keyword:water; object:7up; object:apple; object:butter; object:carrot; object:ceramic bowl; object:chili bottle; object:chips; object:coke; object:corn; object:counter; object:cup; object:egg; object:energy bar; object:fridge; object:lemon; object:lime soda; object:plate; object:rivella; object:sponge; object:sweet bar; object:table; object:tea; object:trash can; object:user; object:water bottle
